produto,sigla_uf,data_coleta,preco_medio,preco_minimo,preco_maximo
Gasolina,RJ,2022-03-03,7.0820000000000000000000,6.660000000000000000,7.760000000000000000
Gasolina,SP,2022-11-17,4.9544654088050314465409,4.390000000000000000,5.690000000000000000
Gasolina,RJ,2022-03-30,7.8550000000000000000000,7.390000000000000000,8.390000000000000000
Gasolina,RJ,2022-06-13,7.8187128712871287128713,7.190000000000000000,8.440000000000000000
Gasolina,SP,2022-08-11,5.4123574144486692015209,4.790000000000000000,6.590000000000000000
Gasolina,RJ,2022-05-13,8.2100000000000000000000,8.180000000000000000,8.280000000000000000
Gasolina,SP,2022-11-22,4.9115277777777777777778,4.350000000000000000,6.890000000000000000
Gasolina,RJ,2022-05-04,8.0425862068965517241379,7.690000000000000000,8.460000000000000000
Gasolina,RJ,2022-12-27,5.0828971962616822429907,4.690000000000000000,5.790000000000000000
Gasolina,RJ,2022-02-25,7.7400000000000000000000,7.690000000000000000,7.790000000000000000
Gasolina,RJ,2022-03-14,7.7920930232558139534884,7.190000000000000000,8.270000000000000000
Gasolina,RJ,2022-06-23,7.9102083333333333333333,7.190000000000000000,8.490000000000000000
Gasolina,SP,2022-01-26,6.3870443349753694581281,5.780000000000000000,7.390000000000000000
Gasolina,RJ,2022-03-31,7.7975000000000000000000,7.390000000000000000,8.290000000000000000
Gasolina,SP,2022-02-28,6.3074460431654676258993,5.690000000000000000,7.590000000000000000
Gasolina,RJ,2022-08-23,5.5084496124031007751938,5.070000000000000000,6.790000000000000000
Gasolina,RJ,2022-07-04,6.8008633093525179856115,5.990000000000000000,7.990000000000000000
Gasolina,RJ,2022-11-23,5.1138888888888888888889,4.690000000000000000,5.840000000000000000
Gasolina,SP,2022-09-27,4.7875000000000000000000,4.290000000000000000,5.990000000000000000
Gasolina,SP,2022-11-11,4.8214285714285714285714,4.450000000000000000,5.590000000000000000
Gasolina,SP,2022-02-08,6.3762200956937799043062,5.780000000000000000,7.590000000000000000
Gasolina,SP,2022-06-07,6.8747352024922118380062,6.180000000000000000,7.890000000000000000
Gasolina,RJ,2022-05-25,7.7971910112359550561798,7.350000000000000000,8.490000000000000000
Gasolina,RJ,2022-08-16,5.6184677419354838709677,5.180000000000000000,6.190000000000000000
Gasolina,SP,2022-07-06,5.9393902439024390243902,5.440000000000000000,6.940000000000000000
Gasolina,SP,2022-07-11,5.9026394230769230769231,5.360000000000000000,7.490000000000000000
Gasolina,SP,2022-12-07,4.8800000000000000000000,4.190000000000000000,6.990000000000000000
Gasolina,SP,2022-01-13,6.3844554455445544554455,5.790000000000000000,7.590000000000000000
Gasolina,SP,2022-02-03,6.3248615384615384615385,5.570000000000000000,7.590000000000000000
Gasolina,SP,2022-11-09,4.9213235294117647058824,4.390000000000000000,6.990000000000000000
Gasolina,RJ,2022-05-05,7.8058823529411764705882,7.340000000000000000,8.390000000000000000
Gasolina,SP,2022-01-24,6.3776693766937669376694,5.750000000000000000,7.040000000000000000
Gasolina,RJ,2022-06-01,7.7319277108433734939759,7.380000000000000000,8.280000000000000000
Gasolina,SP,2022-01-21,6.6371428571428571428571,6.290000000000000000,6.790000000000000000
Gasolina,SP,2022-06-16,6.8498181818181818181818,6.350000000000000000,8.590000000000000000
Gasolina,RJ,2022-01-12,7.1626086956521739130435,6.790000000000000000,7.790000000000000000
Gasolina,RJ,2022-04-07,7.7458974358974358974359,7.390000000000000000,8.190000000000000000
Gasolina,RJ,2022-04-22,7.9000000000000000000000,7.740000000000000000,8.070000000000000000
Gasolina,SP,2022-02-16,6.3067260579064587973274,5.690000000000000000,7.390000000000000000
Gasolina,SP,2022-04-08,6.9713043478260869565217,6.490000000000000000,7.290000000000000000
Gasolina,SP,2022-04-14,6.8667936507936507936508,6.280000000000000000,7.590000000000000000
Gasolina,RJ,2022-03-16,7.7156043956043956043956,6.990000000000000000,8.360000000000000000
Gasolina,SP,2022-03-10,6.4518151815181518151815,5.790000000000000000,7.590000000000000000
Gasolina,SP,2022-10-12,4.7057281553398058252427,4.350000000000000000,5.990000000000000000
Gasolina,SP,2022-11-08,4.9006825938566552901024,4.390000000000000000,7.540000000000000000
Gasolina,RJ,2022-04-29,8.0183333333333333333333,7.730000000000000000,8.390000000000000000
Gasolina,RJ,2022-08-04,5.6374358974358974358974,5.090000000000000000,6.290000000000000000
Gasolina,SP,2022-08-10,5.4014639175257731958763,4.790000000000000000,6.990000000000000000
Gasolina,RJ,2022-04-11,7.8350000000000000000000,7.300000000000000000,8.290000000000000000
Gasolina,SP,2022-01-11,6.2856647398843930635838,5.690000000000000000,6.820000000000000000
Gasolina,RJ,2022-06-16,7.6988235294117647058824,7.390000000000000000,7.990000000000000000
Gasolina,RJ,2022-07-21,5.9293617021276595744681,5.490000000000000000,6.440000000000000000
Gasolina,SP,2022-09-28,4.6018181818181818181818,4.340000000000000000,5.090000000000000000
